사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20200106,장항선,배방,950,913,950,913
20200106,장항선,봉명,1446,1384,1446,1384
20200106,장항선,신창(순천향대),1142,1261,1142,1261
20200106,장항선,쌍용(나사렛대),1901,1792,1901,1792
20200106,장항선,아산,2716,2317,2716,2317
20200106,장항선,온양온천,4196,4317,4196,4317
20200107,장항선,배방,844,832,844,832
20200107,장항선,봉명,1240,1265,1240,1265
20200107,장항선,신창(순천향대),1020,971,1020,971
20200107,장항선,쌍용(나사렛대),1813,1647,1813,1647
20200107,장항선,아산,2342,2096,2342,2096
20200107,장항선,온양온천,3764,3750,3764,3750
20200108,장항선,배방,942,956,942,956
20200108,장항선,봉명,1356,1328,1356,1328
20200108,장항선,신창(순천향대),1070,1048,1070,1048
20200108,장항선,쌍용(나사렛대),1867,1734,1867,1734
20200108,장항선,아산,2595,2272,2595,2272
20200108,장항선,온양온천,3893,3937,3893,3937
20200109,장항선,배방,1060,1058,1060,1058
20200109,장항선,봉명,1389,1394,1389,1394
20200109,장항선,신창(순천향대),1097,1130,1097,1130
20200109,장항선,쌍용(나사렛대),2166,2007,2166,2007
20200109,장항선,아산,2699,2276,2699,2276
20200109,장항선,온양온천,5424,5454,5424,5454
20200110,장항선,배방,1173,1016,1173,1016
20200110,장항선,봉명,1332,1307,1332,1307
20200110,장항선,신창(순천향대),1487,1054,1487,1054
20200110,장항선,쌍용(나사렛대),2238,1958,2238,1958
20200110,장항선,아산,3294,3015,3294,3015
20200110,장항선,온양온천,5089,4846,5089,4846
20200113,장항선,배방,981,959,981,959
20200113,장항선,봉명,1358,1358,1358,1358
20200113,장항선,신창(순천향대),1165,1284,1165,1284
20200113,장항선,쌍용(나사렛대),1990,1825,1990,1825
20200113,장항선,아산,2776,2404,2776,2404
20200113,장항선,온양온천,4355,4489,4355,4489
20200114,장항선,배방,1008,930,1008,930
20200114,장항선,봉명,1486,1421,1486,1421
20200114,장항선,신창(순천향대),1137,1326,1137,1326
20200114,장항선,쌍용(나사렛대),2061,1936,2061,1936
20200114,장항선,아산,2578,2303,2578,2303
20200114,장항선,온양온천,5492,5559,5492,5559
20200115,장항선,배방,1025,942,1025,942
20200115,장항선,봉명,1407,1431,1407,1431
20200115,장항선,신창(순천향대),1363,1042,1363,1042
20200115,장항선,쌍용(나사렛대),2058,1807,2058,1807
20200115,장항선,아산,2648,2414,2648,2414
