사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경인선,개봉,5826,5924,11750
20210101,경인선,도화,1193,1154,2347
20210101,경인선,중동,2432,2404,4836
20210101,경인선,온수,1718,1674,3392
20210101,경인선,도원,833,883,1716
20210101,경인선,간석,1691,1623,3314
20210101,경인선,소사,2834,2545,5379
20210101,경인선,구일,1456,1445,2901
20210101,경인선,인천,1817,1456,3273
20210101,경인선,동인천,4614,4484,9098
20210101,경인선,부개,2393,2407,4800
20210101,경인선,주안,6156,5593,11749
20210101,경인선,동암,5247,5398,10645
20210101,경인선,백운,2080,2095,4175
20210101,경인선,부평,11452,12071,23523
20210101,경인선,송내,6257,6331,12588
20210101,경인선,부천,12103,12686,24789
20210101,경인선,역곡,7389,7375,14764
20210101,경인선,오류동,3443,3180,6623
20210101,경인선,제물포,2900,2752,5652
20210102,경인선,부평,16218,17379,33597
20210102,경인선,송내,9715,9377,19092
20210102,경인선,부천,16718,16978,33696
20210102,경인선,역곡,10963,11069,22032
20210102,경인선,구일,2172,2235,4407
20210102,경인선,개봉,8901,8849,17750
20210102,경인선,소사,4045,3650,7695
20210102,경인선,백운,3149,3086,6235
20210102,경인선,오류동,5052,4797,9849
20210102,경인선,동암,7320,7422,14742
20210102,경인선,중동,3629,3505,7134
20210102,경인선,부개,3487,3347,6834
20210102,경인선,주안,8530,7736,16266
20210102,경인선,동인천,6559,6479,13038
20210102,경인선,제물포,3870,3784,7654
20210102,경인선,도화,1807,1638,3445
20210102,경인선,인천,1879,1538,3417
20210102,경인선,온수,2639,2513,5152
20210102,경인선,도원,1205,1281,2486
20210102,경인선,간석,2425,2241,4666
20210103,경인선,도화,1350,1290,2640
20210103,경인선,개봉,6825,6652,13477
20210103,경인선,오류동,3814,3766,7580
20210103,경인선,역곡,8357,8193,16550
20210103,경인선,부천,13282,12648,25930
20210103,경인선,부평,12578,12499,25077
20210103,경인선,백운,2416,2295,4711
20210103,경인선,동암,5814,5503,11317
20210103,경인선,주안,6707,5902,12609
20210103,경인선,송내,7596,7167,14763
20210103,경인선,동인천,5224,4852,10076
20210103,경인선,온수,1955,1839,3794
20210103,경인선,도원,876,869,1745
20210103,경인선,간석,1945,1751,3696
20210103,경인선,부개,2683,2525,5208
20210103,경인선,중동,2876,2585,5461
20210103,경인선,소사,3384,2852,6236
20210103,경인선,구일,1734,1737,3471
20210103,경인선,인천,1556,1280,2836
20210103,경인선,제물포,3071,2905,5976
20210104,경인선,인천,2254,1632,3886
20210104,경인선,중동,7467,7236,14703
20210104,경인선,온수,5141,5137,10278
20210104,경인선,도원,2152,2126,4278
20210104,경인선,간석,4624,4397,9021
20210104,경인선,부개,6861,6542,13403
20210104,경인선,소사,7696,6948,14644
20210104,경인선,구일,4883,5145,10028
20210104,경인선,동인천,10881,10391,21272
20210104,경인선,도화,3280,3124,6404
20210104,경인선,주안,14574,13444,28018
20210104,경인선,개봉,17377,18257,35634
20210104,경인선,오류동,9710,9355,19065
20210104,경인선,역곡,22463,22379,44842
20210104,경인선,부천,26336,26216,52552
20210104,경인선,제물포,8079,7563,15642
20210104,경인선,부평,23043,23917,46960
20210104,경인선,백운,5902,5731,11633
20210104,경인선,동암,12499,12558,25057
20210104,경인선,송내,22545,22397,44942
20210105,경인선,제물포,7937,7572,15509
20210105,경인선,오류동,9466,9179,18645
20210105,경인선,역곡,22080,22093,44173
20210105,경인선,부천,25877,25882,51759
20210105,경인선,송내,22652,22590,45242
20210105,경인선,부평,22809,23791,46600
20210105,경인선,백운,5735,5649,11384
20210105,경인선,동암,12190,12402,24592
20210105,경인선,주안,14449,13082,27531
20210105,경인선,개봉,17338,18059,35397
20210105,경인선,동인천,10631,10082,20713
20210105,경인선,구일,4902,5180,10082
20210105,경인선,소사,7555,6824,14379
20210105,경인선,부개,6917,6585,13502
20210105,경인선,간석,4448,4293,8741
20210105,경인선,도원,2256,2268,4524
20210105,경인선,온수,5194,5150,10344
20210105,경인선,중동,7334,7058,14392
20210105,경인선,도화,3212,2959,6171
20210105,경인선,인천,2249,1568,3817
20210106,경인선,동암,12526,12767,25293
20210106,경인선,백운,5546,5908,11454
20210106,경인선,송내,22722,23022,45744
20210106,경인선,주안,14991,13834,28825
20210106,경인선,역곡,22292,23332,45624
20210106,경인선,오류동,9616,9886,19502
20210106,경인선,개봉,17587,20083,37670
20210106,경인선,부천,26343,26634,52977
20210106,경인선,제물포,7903,7810,15713
20210106,경인선,부평,22932,24172,47104
20210106,경인선,인천,2237,1615,3852
20210106,경인선,도화,3258,3255,6513
20210106,경인선,중동,7409,7507,14916
20210106,경인선,온수,5169,5217,10386
20210106,경인선,도원,2458,2542,5000
20210106,경인선,동인천,10900,10507,21407
20210106,경인선,부개,6879,6918,13797
20210106,경인선,소사,7494,7004,14498
20210106,경인선,구일,4971,5729,10700
20210106,경인선,간석,4635,4644,9279
20210107,경인선,개봉,18184,18731,36915
20210107,경인선,오류동,9399,9043,18442
20210107,경인선,역곡,22853,22405,45258
20210107,경인선,부천,25382,25674,51056
20210107,경인선,송내,23510,23871,47381
20210107,경인선,부평,22943,24194,47137
20210107,경인선,백운,5973,5763,11736
20210107,경인선,주안,15045,14052,29097
20210107,경인선,제물포,8227,8156,16383
20210107,경인선,동암,12186,12453,24639
20210107,경인선,인천,2363,1640,4003
20210107,경인선,구일,5289,5288,10577
20210107,경인선,소사,7649,6943,14592
20210107,경인선,부개,7072,6728,13800
20210107,경인선,간석,4860,4501,9361
20210107,경인선,도원,2051,2101,4152
20210107,경인선,온수,5153,5130,10283
20210107,경인선,중동,7637,6878,14515
20210107,경인선,동인천,10946,10509,21455
20210107,경인선,도화,3496,3171,6667
20210108,경인선,백운,5315,5193,10508
20210108,경인선,동암,11435,11874,23309
20210108,경인선,주안,14185,13341,27526
20210108,경인선,제물포,7652,7342,14994
20210108,경인선,부개,6467,6125,12592
20210108,경인선,인천,2001,1384,3385
20210108,경인선,소사,7128,6296,13424
20210108,경인선,부평,22031,23861,45892
20210108,경인선,동인천,9980,9560,19540
20210108,경인선,송내,21832,21904,43736
20210108,경인선,중동,6872,6424,13296
20210108,경인선,역곡,21203,21243,42446
20210108,경인선,오류동,8832,8615,17447
20210108,경인선,개봉,16676,17516,34192
20210108,경인선,간석,4341,4082,8423
20210108,경인선,도원,1878,1930,3808
20210108,경인선,온수,4796,4686,9482
20210108,경인선,도화,3027,2726,5753
20210108,경인선,구일,4690,4852,9542
20210108,경인선,부천,24825,25354,50179
20210109,경인선,주안,10239,9370,19609
20210109,경인선,동암,8019,8354,16373
20210109,경인선,백운,3419,3424,6843
20210109,경인선,부평,18550,20233,38783
20210109,경인선,오류동,5740,5583,11323
20210109,경인선,부천,18706,19707,38413
20210109,경인선,역곡,12928,12990,25918
20210109,경인선,제물포,4633,4527,9160
20210109,경인선,송내,11456,11568,23024
20210109,경인선,개봉,10423,10438,20861
20210109,경인선,동인천,6874,6742,13616
20210109,경인선,구일,2575,2490,5065
20210109,경인선,도화,1930,1817,3747
20210109,경인선,중동,4155,3939,8094
20210109,경인선,온수,2975,2753,5728
20210109,경인선,인천,1685,1360,3045
20210109,경인선,간석,2662,2549,5211
20210109,경인선,부개,3990,3764,7754
20210109,경인선,소사,4839,4529,9368
20210109,경인선,도원,1375,1368,2743
20210110,경인선,동암,5900,5771,11671
20210110,경인선,개봉,7134,7042,14176
20210110,경인선,오류동,3984,3772,7756
20210110,경인선,역곡,9003,8738,17741
20210110,경인선,부천,13245,12799,26044
20210110,경인선,송내,7609,7504,15113
20210110,경인선,부평,13550,13867,27417
20210110,경인선,백운,2359,2289,4648
20210110,경인선,주안,7157,6316,13473
20210110,경인선,제물포,3327,3233,6560
20210110,경인선,도화,1393,1328,2721
20210110,경인선,인천,1444,1169,2613
20210110,경인선,구일,1766,1737,3503
20210110,경인선,소사,3515,3382,6897
20210110,경인선,부개,2729,2589,5318
20210110,경인선,간석,1940,1820,3760
20210110,경인선,도원,900,918,1818
20210110,경인선,온수,1941,1913,3854
20210110,경인선,중동,2889,2656,5545
20210110,경인선,동인천,5237,5054,10291
20210111,경인선,구일,4944,5187,10131
20210111,경인선,소사,7726,7340,15066
20210111,경인선,부개,6954,6636,13590
20210111,경인선,간석,4593,4338,8931
20210111,경인선,인천,2158,1561,3719
20210111,경인선,온수,5140,5035,10175
20210111,경인선,중동,7443,7130,14573
20210111,경인선,도화,3226,3041,6267
20210111,경인선,도원,2171,2239,4410
20210111,경인선,동인천,10840,10118,20958
20210111,경인선,개봉,17528,18352,35880
20210111,경인선,주안,14818,13523,28341
20210111,경인선,동암,12533,12437,24970
20210111,경인선,백운,5662,5685,11347
20210111,경인선,부평,23383,24525,47908
20210111,경인선,송내,22594,22460,45054
20210111,경인선,부천,26497,26496,52993
20210111,경인선,역곡,22462,22455,44917
20210111,경인선,오류동,9713,9326,19039
20210111,경인선,제물포,7942,7629,15571
20210112,경인선,도원,2446,2502,4948
20210112,경인선,간석,4853,4739,9592
20210112,경인선,부개,7077,6976,14053
20210112,경인선,소사,7759,7832,15591
20210112,경인선,제물포,8227,8182,16409
20210112,경인선,인천,2437,1739,4176
20210112,경인선,동인천,11210,10628,21838
20210112,경인선,온수,5478,5473,10951
20210112,경인선,구일,5303,6052,11355
20210112,경인선,중동,7567,7487,15054
20210112,경인선,송내,23413,23510,46923
20210112,경인선,개봉,18199,20653,38852
20210112,경인선,오류동,10028,10188,20216
20210112,경인선,역곡,22870,24049,46919
20210112,경인선,부천,26856,27480,54336
20210112,경인선,도화,3405,3256,6661
20210112,경인선,부평,23841,25430,49271
20210112,경인선,백운,5819,5917,11736
20210112,경인선,동암,12856,13314,26170
20210112,경인선,주안,15251,14226,29477
20210113,경인선,구일,5419,5512,10931
20210113,경인선,소사,8085,7640,15725
20210113,경인선,부개,7246,6872,14118
20210113,경인선,간석,4949,4733,9682
20210113,경인선,도화,3657,3344,7001
20210113,경인선,온수,5502,5428,10930
20210113,경인선,중동,8060,7641,15701
20210113,경인선,인천,2582,1888,4470
20210113,경인선,도원,2363,2418,4781
20210113,경인선,동인천,11521,10947,22468
20210113,경인선,제물포,8497,8126,16623
20210113,경인선,주안,15678,14307,29985
20210113,경인선,오류동,10045,9621,19666
20210113,경인선,역곡,23500,23210,46710
20210113,경인선,부천,27729,27649,55378
20210113,경인선,개봉,18803,19295,38098
20210113,경인선,부평,24381,25825,50206
20210113,경인선,백운,6080,6052,12132
20210113,경인선,동암,13201,13383,26584
20210113,경인선,송내,24024,23895,47919
20210114,경인선,인천,2652,1911,4563
20210114,경인선,중동,7639,7294,14933
20210114,경인선,온수,5321,5246,10567
20210114,경인선,도원,2280,2363,4643
20210114,경인선,간석,4811,4633,9444
20210114,경인선,부개,7086,6792,13878
20210114,경인선,소사,8000,7797,15797
20210114,경인선,구일,5136,5365,10501
20210114,경인선,동인천,11592,10939,22531
20210114,경인선,도화,3414,3254,6668
20210114,경인선,주안,15390,14161,29551
20210114,경인선,개봉,18398,19240,37638
20210114,경인선,오류동,10120,9765,19885
20210114,경인선,역곡,23013,23021,46034
20210114,경인선,부천,27956,27864,55820
20210114,경인선,제물포,8550,8157,16707
20210114,경인선,부평,24624,25846,50470
20210114,경인선,백운,5997,5970,11967
20210114,경인선,동암,13066,13214,26280
20210114,경인선,송내,23522,23525,47047
20210115,경인선,인천,2476,1844,4320
20210115,경인선,중동,7739,7258,14997
20210115,경인선,온수,5323,5344,10667
20210115,경인선,도원,2240,2322,4562
20210115,경인선,간석,4827,4642,9469
20210115,경인선,부개,7217,6894,14111
20210115,경인선,소사,8026,7656,15682
20210115,경인선,구일,5123,5339,10462
20210115,경인선,동인천,11407,10790,22197
20210115,경인선,도화,3451,3187,6638
20210115,경인선,주안,15784,14652,30436
20210115,경인선,개봉,18434,19368,37802
20210115,경인선,오류동,10169,9710,19879
20210115,경인선,역곡,23158,23402,46560
20210115,경인선,부천,28094,28663,56757
20210115,경인선,제물포,8554,8193,16747
20210115,경인선,부평,24918,26883,51801
20210115,경인선,백운,5984,5914,11898
20210115,경인선,동암,13250,13516,26766
20210115,경인선,송내,23514,23724,47238
20210116,경인선,동인천,8281,8103,16384
20210116,경인선,중동,4892,4796,9688
20210116,경인선,온수,3394,3340,6734
20210116,경인선,도원,1516,1587,3103
20210116,경인선,간석,3123,3002,6125
20210116,경인선,부개,4753,4686,9439
20210116,경인선,소사,5646,5501,11147
20210116,경인선,구일,3204,2994,6198
20210116,경인선,인천,2236,1879,4115
20210116,경인선,도화,2319,2100,4419
20210116,경인선,제물포,5380,5231,10611
20210116,경인선,동암,9380,9624,19004
20210116,경인선,백운,4026,3985,8011
20210116,경인선,부평,21229,23249,44478
20210116,경인선,송내,13004,12997,26001
20210116,경인선,부천,21615,22581,44196
20210116,경인선,역곡,14828,14847,29675
20210116,경인선,오류동,6749,6383,13132
20210116,경인선,개봉,12260,12373,24633
20210116,경인선,주안,11169,10190,21359
20210117,경인선,동암,6563,6471,13034
20210117,경인선,백운,2714,2690,5404
20210117,경인선,부평,15666,15989,31655
20210117,경인선,주안,7954,6947,14901
20210117,경인선,부천,15639,15171,30810
20210117,경인선,역곡,9638,9611,19249
20210117,경인선,오류동,4517,4371,8888
20210117,경인선,송내,8877,8555,17432
20210117,경인선,제물포,3748,3662,7410
20210117,경인선,개봉,7872,8056,15928
20210117,경인선,인천,1782,1476,3258
20210117,경인선,도화,1548,1497,3045
20210117,경인선,중동,3285,3025,6310
20210117,경인선,온수,2193,2136,4329
20210117,경인선,도원,1066,1055,2121
20210117,경인선,동인천,6093,5709,11802
20210117,경인선,부개,3195,2993,6188
20210117,경인선,소사,3927,3605,7532
20210117,경인선,구일,2059,2017,4076
20210117,경인선,간석,2162,2068,4230
20210118,경인선,오류동,10310,9869,20179
20210118,경인선,역곡,23950,23857,47807
20210118,경인선,부천,28208,28151,56359
20210118,경인선,송내,24707,24574,49281
20210118,경인선,부평,25752,27083,52835
20210118,경인선,백운,6442,6337,12779
20210118,경인선,동암,13428,13526,26954
20210118,경인선,주안,16081,14681,30762
20210118,경인선,제물포,8814,8418,17232
20210118,경인선,개봉,18820,19882,38702
20210118,경인선,인천,2458,1706,4164
20210118,경인선,도화,3666,3435,7101
20210118,경인선,중동,8207,7753,15960
20210118,경인선,온수,5487,5498,10985
20210118,경인선,도원,2392,2451,4843
20210118,경인선,동인천,11920,11321,23241
20210118,경인선,부개,7500,7106,14606
20210118,경인선,소사,8162,7848,16010
20210118,경인선,구일,5393,5539,10932
20210118,경인선,간석,5163,4928,10091
20210119,경인선,동인천,11095,10459,21554
20210119,경인선,중동,7569,7348,14917
20210119,경인선,온수,5225,5291,10516
20210119,경인선,도원,2115,2194,4309
